,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18
1,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
2,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,NA
3,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,NA,NA
4,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,NA,NA,NA
5,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,NA,NA,NA,NA
6,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,NA,NA,NA,NA,NA
7,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,NA,NA,NA,NA,NA,NA
8,4565,4565,4565,4565,4565,4565,4565,4565,4565,4565,4565,NA,NA,NA,NA,NA,NA,NA
9,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,NA,NA,NA,NA,NA,NA,NA,NA
10,5482,5482,5482,5482,5482,5482,5482,5482,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5622,5622,5622,5622,5622,5622,5622,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6531,6531,6531,6531,6531,6531,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,6726,6726,6726,6726,6726,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,8766,8766,8766,8766,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10845,10845,10845,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,11067,11067,11067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,11333,11333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,11902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
