,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9
116,947,1049,NA,NA,NA,NA,NA,NA,NA
117,911,1049,NA,NA,NA,NA,NA,NA,NA
118,911,1049,NA,NA,NA,NA,NA,NA,NA
119,911,1049,NA,NA,NA,NA,NA,NA,NA
120,911,1049,NA,NA,NA,NA,NA,NA,NA
121,911,1049,NA,NA,NA,NA,NA,NA,NA
122,911,1104,NA,NA,NA,NA,NA,NA,NA
123,911,1104,NA,NA,NA,NA,NA,NA,NA
124,911,1104,NA,NA,NA,NA,NA,NA,NA
125,911,1104,NA,NA,NA,NA,NA,NA,NA
126,911,1104,NA,NA,NA,NA,NA,NA,NA
127,6,2235,NA,NA,NA,NA,NA,NA,NA
128,6,2235,NA,NA,NA,NA,NA,NA,NA
129,6,2235,NA,NA,NA,NA,NA,NA,NA
130,6,4119,NA,NA,NA,NA,NA,NA,NA
131,6,4119,NA,NA,NA,NA,NA,NA,NA
132,6,2301,NA,NA,NA,NA,NA,NA,NA
133,6,488,NA,NA,NA,NA,NA,NA,NA
134,6,NA,NA,NA,NA,NA,NA,NA,NA
135,6,NA,NA,NA,NA,NA,NA,NA,NA
136,140,NA,NA,NA,NA,NA,NA,NA,NA
137,140,NA,NA,NA,NA,NA,NA,NA,NA
138,140,NA,NA,NA,NA,NA,NA,NA,NA
139,140,NA,NA,NA,NA,NA,NA,NA,NA
140,140,NA,NA,NA,NA,NA,NA,NA,NA
141,140,NA,NA,NA,NA,NA,NA,NA,NA
142,140,NA,NA,NA,NA,NA,NA,NA,NA
143,140,NA,NA,NA,NA,NA,NA,NA,NA
144,909,NA,NA,NA,NA,NA,NA,NA,NA
145,909,NA,NA,NA,NA,NA,NA,NA,NA
146,909,NA,NA,NA,NA,NA,NA,NA,NA
147,909,NA,NA,NA,NA,NA,NA,NA,NA
148,909,NA,NA,NA,NA,NA,NA,NA,NA
149,909,NA,NA,NA,NA,NA,NA,NA,NA
150,909,NA,NA,NA,NA,NA,NA,NA,NA
151,195,NA,NA,NA,NA,NA,NA,NA,NA
152,195,NA,NA,NA,NA,NA,NA,NA,NA
153,195,NA,NA,NA,NA,NA,NA,NA,NA
154,195,NA,NA,NA,NA,NA,NA,NA,NA
155,195,NA,NA,NA,NA,NA,NA,NA,NA
156,195,NA,NA,NA,NA,NA,NA,NA,NA
157,2040,NA,NA,NA,NA,NA,NA,NA,NA
158,2040,NA,NA,NA,NA,NA,NA,NA,NA
159,2040,NA,NA,NA,NA,NA,NA,NA,NA
160,2040,NA,NA,NA,NA,NA,NA,NA,NA
161,2040,NA,NA,NA,NA,NA,NA,NA,NA
162,2079,NA,NA,NA,NA,NA,NA,NA,NA
163,2079,NA,NA,NA,NA,NA,NA,NA,NA
164,2079,NA,NA,NA,NA,NA,NA,NA,NA
165,2079,NA,NA,NA,NA,NA,NA,NA,NA
166,222,NA,NA,NA,NA,NA,NA,NA,NA
167,222,NA,NA,NA,NA,NA,NA,NA,NA
168,222,NA,NA,NA,NA,NA,NA,NA,NA
169,266,NA,NA,NA,NA,NA,NA,NA,NA
170,266,NA,NA,NA,NA,NA,NA,NA,NA
171,569,NA,NA,NA,NA,NA,NA,NA,NA
