"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",77,71,69,508,189,110,387,184,431,1,68,898,91,406,1021,60,91,281
"2",148,140,577,697,299,497,571,615,432,69,966,989,497,1427,1081,151,372,NA
"3",217,648,766,807,686,681,1002,616,500,967,1057,1395,1518,1487,1172,432,NA,NA
"4",725,837,876,1194,870,1112,1003,684,1398,1058,1463,2416,1578,1578,1453,NA,NA,NA
"5",914,947,1263,1378,1301,1113,1071,1582,1489,1464,2484,2476,1669,1859,NA,NA,NA,NA
"6",1024,1334,1447,1809,1302,1181,1969,1673,1895,2485,2544,2567,1950,NA,NA,NA,NA,NA
"7",1411,1518,1878,1810,1370,2079,2060,2079,2916,2545,2635,2848,NA,NA,NA,NA,NA,NA
"8",1595,1949,1879,1878,2268,2170,2466,3100,2976,2636,2916,NA,NA,NA,NA,NA,NA,NA
"9",2026,1950,1947,2776,2359,2576,3487,3160,3067,2917,NA,NA,NA,NA,NA,NA,NA,NA
"10",2027,2018,2845,2867,2765,3597,3547,3251,3348,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2095,2916,2936,3273,3786,3657,3638,3532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2993,3007,3342,4294,3846,3748,3919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3084,3413,4363,4354,3937,4029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",3490,4434,4423,4445,4218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4511,4494,4514,4726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4571,4585,4795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",4662,4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
