,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18
1,0.475308641975309,0.245847176079734,0.205687203791469,0.384207737148914,0.436902485659656,0.363765541740675,0.389994472084024,0.349397590361446,0.369978086194302,0.369755563662897,0.372643187477766,0.458275914867555,0.458519179304193,0.39812913529546,0.415952051636699,0.41302972802024,0.41136504014824,0.415308351537557
2,0.161363636363636,0.156774916013438,0.375652173913043,0.433678756476684,0.356954391255183,0.38599537037037,0.344764933000227,0.36676703048551,0.366541353383459,0.36959706959707,0.457842675459256,0.458104814137721,0.396675964667596,0.415051951698961,0.412104539202201,0.410437740578283,0.414480408858603,NA
3,0.152317880794702,0.449027237354086,0.514093959731544,0.395842747401717,0.418766578249337,0.365127428715619,0.385309807139926,0.385040983606557,0.387848605577689,0.479844830494181,0.479425212279556,0.409358157765801,0.425949428878258,0.422646918299092,0.420650451961607,0.424336283185841,NA,NA
4,0.610576923076923,0.672131147540984,0.458522727272727,0.465860319937573,0.392592592592593,0.409183442660032,0.408854754913034,0.41121086052113,0.506939371804237,0.505554575912537,0.424458565685385,0.438610827374872,0.434878146224531,0.4324771356295,0.435696505946345,NA,NA,NA
5,0.921951219512195,0.322198275862069,0.39630271519353,0.32486930545183,0.362496517135692,0.362169680111266,0.366800535475234,0.488372093023256,0.487497416821657,0.40194795755197,0.422638981915606,0.418954248366013,0.416790175735761,0.421168247628557,NA,NA,NA,NA
6,0.152143845089903,0.325688073394495,0.275374039627982,0.328605200945626,0.328318584070796,0.334560906515581,0.468348727190809,0.468277945619335,0.385975427030267,0.410944818919228,0.407465181058496,0.405583811275836,0.410703363914373,NA,NA,NA,NA,NA
7,0.481942714819427,0.326285714285714,0.376550169109357,0.376077990251219,0.381546134663342,0.529870828848224,0.526719509076962,0.414384137119812,0.434246575342466,0.429835191468735,0.427095562338577,0.43127544844283,NA,NA,NA,NA,NA,NA
8,0.194297782470961,0.331001076426265,0.330472103004292,0.341317365269461,0.543082732578098,0.538288288288288,0.403846153846154,0.42894700428947,0.424218015841053,0.421386908619572,0.42636407532593,NA,NA,NA,NA,NA,NA,NA
9,0.473106476399561,0.471101417666303,0.473036896877956,0.711088504577823,0.689032855159648,0.451083075458224,0.464331210191083,0.457705321439557,0.453161938534279,0.456317295897506,NA,NA,NA,NA,NA,NA,NA,NA
10,0.166666666666667,0.472602739726027,0.916587677725119,0.8464,0.444984802431611,0.462842242503259,0.455195850473976,0.450059757555062,0.453937130407719,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.485714285714286,0.920877025738799,0.84967845659164,0.445493300852619,0.463173596867425,0.45550581915846,0.450350367458554,0.454205607476636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.987898789878988,0.895833333333333,0.443702290076336,0.462569404556768,0.454729109274564,0.449483452985467,0.453503184713376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.466666666666667,0.222371364653244,0.351877607788595,0.347883597883598,0.347563515201999,0.363060882517222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.199019607843137,0.34644331148337,0.342547800046072,0.342522248751899,0.359157650695518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.491101491101491,0.469795740982182,0.456564082586677,0.463329081632653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.27027027027027,0.309426229508197,0.408703878902554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.342105263157895,0.445508982035928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.493848857644991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
