,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18
1,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309,0.475308641975309
2,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,0.245847176079734,NA
3,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,0.205687203791469,NA,NA
4,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,0.384207737148914,NA,NA,NA
5,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,0.436902485659656,NA,NA,NA,NA
6,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,0.363765541740675,NA,NA,NA,NA,NA
7,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,0.389994472084024,NA,NA,NA,NA,NA,NA
8,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,0.349397590361446,NA,NA,NA,NA,NA,NA,NA
9,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,0.369978086194302,NA,NA,NA,NA,NA,NA,NA,NA
10,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,0.369755563662897,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.372643187477766,0.372643187477766,0.372643187477766,0.372643187477766,0.372643187477766,0.372643187477766,0.372643187477766,0.372643187477766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.458275914867555,0.458275914867555,0.458275914867555,0.458275914867555,0.458275914867555,0.458275914867555,0.458275914867555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.458519179304193,0.458519179304193,0.458519179304193,0.458519179304193,0.458519179304193,0.458519179304193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.39812913529546,0.39812913529546,0.39812913529546,0.39812913529546,0.39812913529546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.415952051636699,0.415952051636699,0.415952051636699,0.415952051636699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.41302972802024,0.41302972802024,0.41302972802024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.41136504014824,0.41136504014824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.415308351537557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
