"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",85,369,384,324,16,613,416,763,480,5,72,11,104,1634,1058,162,175,288
"2",454,753,708,340,629,1029,1179,1243,485,77,83,115,1738,2692,1220,337,463,NA
"3",838,1077,724,953,1045,1792,1659,1248,557,88,187,1749,2796,2854,1395,625,NA,NA
"4",1162,1093,1337,1369,1808,2272,1664,1320,568,192,1821,2807,2958,3029,1683,NA,NA,NA
"5",1178,1706,1753,2132,2288,2277,1736,1331,672,1826,2879,2969,3133,3317,NA,NA,NA,NA
"6",1791,2122,2516,2612,2293,2349,1747,1435,2306,2884,3041,3144,3421,NA,NA,NA,NA,NA
"7",2207,2885,2996,2617,2365,2360,1851,3069,3364,3046,3216,3432,NA,NA,NA,NA,NA,NA
"8",2970,3365,3001,2689,2376,2464,3485,4127,3526,3221,3504,NA,NA,NA,NA,NA,NA,NA
"9",3450,3370,3073,2700,2480,4098,4543,4289,3701,3509,NA,NA,NA,NA,NA,NA,NA,NA
"10",3455,3442,3084,2804,4114,5156,4705,4464,3989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",3527,3453,3188,4438,5172,5318,4880,4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3538,3557,4822,5496,5334,5493,5168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3642,5191,5880,5658,5509,5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",5276,6249,6042,5833,5797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",6334,6411,6217,6121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",6496,6586,6505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",6671,6874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",6959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
