"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,10845,11067,11333,11902
"2",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,10845,11067,11333,NA
"3",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,10845,11067,NA,NA
"4",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,10845,NA,NA,NA
"5",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,8766,NA,NA,NA,NA
"6",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,6726,NA,NA,NA,NA,NA
"7",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,6531,NA,NA,NA,NA,NA,NA
"8",162,602,1055,1887,2092,2815,3618,4565,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA
"9",162,602,1055,1887,2092,2815,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA
"10",162,602,1055,1887,2092,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",162,602,1055,1887,2092,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",162,602,1055,1887,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",162,602,1055,1887,2092,2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",162,602,1055,1887,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",162,602,1055,1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",162,602,1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",162,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
